epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,10574.7,0.45052,0.33198,0.88954,0.94716,0.9494,0.98749,0.898,0.45191,0.32562,0.80352,0.000162599,0.000162599,0.000162599
59,10746,0.45613,0.33715,0.89599,0.94837,0.95136,0.98655,0.88828,0.45524,0.34272,0.81017,0.000161368,0.000161368,0.000161368
60,10921.5,0.45285,0.33803,0.89043,0.95425,0.94472,0.98563,0.88688,0.46939,0.34517,0.81026,0.000160122,0.000160122,0.000160122
61,11147.1,0.46363,0.33997,0.90102,0.94494,0.94488,0.98614,0.88584,0.47991,0.33043,0.81316,0.000158861,0.000158861,0.000158861
62,11320.2,0.46251,0.32934,0.90011,0.94547,0.94454,0.98668,0.89566,0.45994,0.33566,0.8067,0.000157586,0.000157586,0.000157586
63,11496.4,0.45892,0.33444,0.89653,0.93677,0.94504,0.98486,0.89794,0.45051,0.33544,0.80623,0.000156296,0.000156296,0.000156296
64,11725.1,0.45571,0.33298,0.89865,0.93757,0.95111,0.98606,0.89943,0.44891,0.3305,0.80747,0.000154992,0.000154992,0.000154992
65,11928,0.45839,0.33253,0.89757,0.93741,0.95241,0.98599,0.89661,0.4463,0.32281,0.81001,0.000153676,0.000153676,0.000153676
66,12139.9,0.45229,0.32258,0.90408,0.94684,0.94175,0.98604,0.89351,0.45913,0.32849,0.81305,0.000152345,0.000152345,0.000152345
67,12313.6,0.45675,0.32899,0.89924,0.95198,0.94357,0.98633,0.89754,0.4507,0.32072,0.81243,0.000151002,0.000151002,0.000151002
68,12488,0.45709,0.32453,0.89126,0.95503,0.9384,0.98684,0.89899,0.45388,0.32366,0.80992,0.000149647,0.000149647,0.000149647
69,12662.9,0.46648,0.33232,0.89877,0.94574,0.94463,0.98481,0.89594,0.45202,0.32763,0.8083,0.000148279,0.000148279,0.000148279
70,12837.1,0.44761,0.31911,0.89841,0.95348,0.93783,0.98603,0.89429,0.44212,0.33062,0.80504,0.000146899,0.000146899,0.000146899
71,13012.8,0.43242,0.32574,0.90165,0.95047,0.95044,0.98647,0.89972,0.43982,0.31733,0.80666,0.000145508,0.000145508,0.000145508
72,13187.7,0.44508,0.32575,0.89644,0.94467,0.95172,0.98718,0.89869,0.45346,0.34034,0.8098,0.000144106,0.000144106,0.000144106
73,13361.6,0.44981,0.33194,0.89609,0.93919,0.94826,0.98603,0.89691,0.45372,0.3292,0.80801,0.000142693,0.000142693,0.000142693
74,13535,0.45187,0.31602,0.89501,0.95727,0.94056,0.98722,0.90335,0.43658,0.32158,0.80465,0.000141269,0.000141269,0.000141269
75,13708.2,0.43987,0.31871,0.8976,0.9513,0.94722,0.9872,0.89214,0.46561,0.32175,0.80995,0.000139835,0.000139835,0.000139835
76,13882.3,0.44504,0.31547,0.89139,0.95856,0.94393,0.98715,0.90189,0.43923,0.31868,0.80644,0.000138392,0.000138392,0.000138392
77,14054.8,0.4384,0.31368,0.89641,0.9501,0.94455,0.98758,0.90368,0.44037,0.31143,0.8042,0.000136939,0.000136939,0.000136939
78,14228.6,0.43444,0.32142,0.88863,0.95823,0.933,0.98718,0.9037,0.44098,0.32169,0.80843,0.000135477,0.000135477,0.000135477
79,14402.6,0.44102,0.31474,0.89416,0.95553,0.95011,0.98735,0.90482,0.43101,0.30982,0.802,0.000134006,0.000134006,0.000134006
